HIP_ID,RA_deg,DEC_deg,V_mag,Parallax,pmRA,pmDE
5542,17.77567508,55.14990064,4.340000152587891,23.729999542236328,226.62,-19.34
27100,86.19324494,-65.73552592,4.340000152587891,22.479999542236328,-28.38,6.12
14838,47.90735613,19.72667738,4.349999904632568,19.440000534057617,154.61,-8.39
22509,72.65300729,8.90017585,4.349999904632568,16.84000015258789,-0.87,-31.57
2484,7.88611087,-62.95821764,4.360000133514404,23.350000381469727,82.48,-54.37
3405,10.83849351,-57.46305996,4.360000133514404,13.569999694824219,-5.16,15.5
10324,33.24998125,8.8467173,4.360000133514404,9.010000228881836,-26.23,-14.4
16335,52.64368152,47.99521606,4.360000133514404,9.229999542236328,1.56,18.13
19038,61.17381506,22.08192566,4.360000133514404,18.040000915527344,91.73,-58.52
22701,73.22362423,-5.45269507,4.360000133514404,14.390000343322754,-18.01,25.03
24327,78.30782374,-12.94129154,4.360000133514404,5.829999923706055,-12.22,-1.32
154,0.490079,-6.01407212,4.369999885559082,7.860000133514404,46.62,-41.32
8837,28.41142371,-46.30266861,4.389999866485596,10.149999618530273,-92.38,-91.46
17884,57.38034127,65.52597247,4.389999866485596,3.380000114440918,-2.5,-13.98
26176,83.70515458,9.48957923,4.389999866485596,3.309999942779541,-1.24,-2.49
27913,88.59576026,20.27617455,4.389999866485596,115.43000030517578,-163.17,-98.92
4463,14.30166657,23.41764802,4.400000095367432,13.4399995803833,-43.72,-46.06
17593,56.53556491,-12.10158939,4.429999828338623,6.559999942779541,55.59,60.03
19849,63.81800057,-7.65287058,4.429999828338623,198.24000549316406,-2239.33,-3419.86
23040,74.3216524,53.75210119,4.429999828338623,8.680000305175781,-24.17,7.53
1170,3.66006652,-18.93286561,4.440000057220459,6.619999885559082,-27.15,-73.78
3786,12.17060122,7.58507917,4.440000057220459,10.6899995803833,83.14,-50.48
19921,64.12095285,-59.30215628,4.440000057220459,54.84000015258789,-47.99,-167.81
21770,70.14046881,-41.86375251,4.440000057220459,49.66999816894531,-141.18,-74.95
7884,25.35789264,5.48761322,4.449999809265137,8.859999656677246,-22.73,3.61
13147,42.27258148,-32.40589767,4.449999809265137,19.309999465942383,86.96,158.96
24244,78.07459272,-11.86921875,4.449999809265137,13.529999732971191,24.95,-31.22
11569,37.26644081,67.40247393,4.460000038146973,23.040000915527344,-27.92,37.06
18255,58.57292521,-2.95472986,4.460000038146973,9.460000038146973,26.42,1.49
24331,78.32283913,2.86126547,4.460000038146973,9.489999771118164,3.05,4.94
12843,41.27577129,-18.57256259,4.46999979019165,71.55999755859375,330.93,36.28
15549,50.08483666,29.04845844,4.46999979019165,5.090000152587891,-8.21,-16.42
23123,74.63709138,1.71401579,4.46999979019165,3.4200000762939453,-1.59,-7.93
3504,11.1813238,48.2843641,4.480000019073486,3.5999999046325684,17.79,-7.62
18744,60.22419697,-62.15928428,4.480000019073486,6.650000095367432,1.8,34.95
20713,66.58642154,15.61826526,4.480000019073486,20.860000610351562,114.66,-33.3
9480,30.48938612,70.90702007,4.489999771118164,27.90999984741211,-54.46,-10.69
21248,68.37730272,-29.7664919,4.489999771118164,26.219999313354492,-114.35,-271.56
26594,84.79644308,4.12146684,4.5,2.009999990463257,0.76,0.07
27530,87.45692625,-56.16666304,4.5,18.780000686645508,81.61,-71.77
1473,4.5819037,36.78522405,4.510000228881836,23.110000610351562,-66.51,-42.48
5586,17.9151534,30.08963821,4.510000228881836,20.110000610351562,74.29,-37.61
27483,87.29349215,39.18107112,4.510000228881836,15.34000015258789,-28.42,-25.55
13061,41.97725287,29.24711818,4.519999980926514,18.059999465942383,148.42,-125.76
2487,7.88945045,-62.96556114,4.53000020980835,18.950000762939453,87.95,-45.79
3881,12.45353036,41.07891087,4.53000020980835,4.800000190734863,22.68,-18.05
24727,79.5440374,33.37161284,4.539999961853027,13.920000076293945,29.86,-160.98
301,0.93495762,-17.33598771,4.550000190734863,14.3100004196167,28.57,-7.28
16281,52.47809925,58.87874967,4.550000190734863,1.3200000524520874,-1.94,-1.14
23595,76.10167557,-35.48297839,4.550000190734863,17.6299991607666,126.17,-44.36
13328,42.87848975,35.05974098,4.559999942779541,7.96999979019165,9.29,-63.02
18597,59.68645594,-61.40018557,4.559999942779541,6.150000095367432,9.79,-14.39
27830,88.33185862,27.61226208,4.559999942779541,7.449999809265137,3.82,-9.58
16870,54.27366762,-40.27454534,4.570000171661377,14.880000114440918,2.77,-14.23
26237,83.8465174,-4.83835783,4.579999923706055,4.150000095367432,4.29,-7.15
3245,10.33146537,-46.08500681,4.590000152587891,13.1899995803833,-28.92,1.04
17351,55.70856433,-37.31351844,4.590000152587891,18.34000015258789,-90.81,-71.42
17959,57.5896213,71.33226569,4.590000152587891,9.729999542236328,18.27,-42.0
25473,81.70928488,3.09567448,4.590000152587891,2.299999952316284,0.34,-1.11
20070,64.56090838,50.29550228,4.599999904632568,10.25,46.59,-56.43
443,1.33392048,-5.7076182,4.610000133514404,25.3799991607666,-8.29,88.19
1366,4.27290947,38.68163564,4.610000133514404,12.880000114440918,-50.01,-17.9
8833,28.38896,3.18753653,4.610000133514404,17.110000610351562,23.69,23.9
14817,47.82242336,39.61158237,4.610000133514404,10.6899995803833,-26.21,4.78
4422,14.1662713,59.18105564,4.619999885559082,15.84000015258789,-92.56,-45.33
18673,59.98118081,-24.01621526,4.619999885559082,9.850000381469727,11.41,17.08
23497,75.7739472,21.58996241,4.619999885559082,20.010000228881836,68.94,-40.85
25923,82.98274987,-7.30153704,4.619999885559082,2.109999895095825,-0.54,-4.44
